"category","medicine_name","ema_product_number","medicine_status","inn_common_name","active_substance","atc_code_human","therapeutic_indication","marketing_authorisation_holder","marketing_authorisation_date","first_published_date","last_updated_date","medicine_url","ema_slug","source","source_label","source_file_type","source_file_url","source_file_downloaded_at","source_file_local_path","search_key"
"Human","Ablymico","EMEA/H/C/006620","Opinion","liraglutide","liraglutide","A10BJ02","Treatment of weight management.","STADA Arzneimittel AG","","22/05/2026","","https://www.ema.europa.eu/en/medicines/human/EPAR/ablymico","ablymico","EMA","European Medicines Agency","ema_download","https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx","2026-07-07 13:15:45 CEST","C:/Users/qvh9/OneDrive - Region Nordjylland/Dokumenter/R/kfaapps/spc/data/raw/ema_medicines_20260707.xlsx","ablymico liraglutide liraglutide a10bj02 stada arzneimittel ag"
"Human","ABP 710","EMEA/H/C/005020","Application withdrawn","infliximab","infliximab","L04AB02","Treatment of rheumatoid arthritis, Crohn's disease, ankylosing spondylitis, psoriatic arthritis, psoriasis and ulcerative colitis","Amgen Europe B.V.","","28/06/2019","","https://www.ema.europa.eu/en/medicines/human/EPAR/abp-710","abp-710","EMA","European Medicines Agency","ema_download","https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx","2026-07-07 13:15:45 CEST","C:/Users/qvh9/OneDrive - Region Nordjylland/Dokumenter/R/kfaapps/spc/data/raw/ema_medicines_20260707.xlsx","abp 710 infliximab infliximab l04ab02 amgen europe b v"
"Human","Abraxane","EMEA/H/C/000778","Authorised","paclitaxel","paclitaxel","L01CD01","Abraxane monotherapy is indicated for the treatment of metastatic breast cancer in adult patients who have failed first-line treatment for metastatic disease and for whom standard, anthracycline containing therapy is not indicated. Abraxane in combination with gemcitabine is indicated for the first-line treatment of adult patients with metastatic adenocarcinoma of the pancreas. Abraxane in combination with carboplatin is indicated for the first-line treatment of non-small cell lung cancer in adult patients who are not candidates for potentially curative surgery and/or radiation therapy.","Bristol-Myers Squibb Pharma EEIG","11/01/2008","30/07/2018","21/01/2026","https://www.ema.europa.eu/en/medicines/human/EPAR/abraxane","abraxane","EMA","European Medicines Agency","ema_download","https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx","2026-07-07 13:15:45 CEST","C:/Users/qvh9/OneDrive - Region Nordjylland/Dokumenter/R/kfaapps/spc/data/raw/ema_medicines_20260707.xlsx","abraxane paclitaxel paclitaxel l01cd01 bristol myers squibb pharma eeig"
"Human","Abrysvo","EMEA/H/C/006027","Authorised","respiratory syncytial virus vaccine (bivalent, recombinant)","respiratory syncytial virus vaccine (bivalent, recombinant)","J07BX05","Abrysvo is indicated for: Passive protection against lower respiratory tract disease caused by respiratory syncytial virus (RSV) in infants from birth through 6 months of age following maternal immunisation during pregnancy.&nbsp; Active immunisation of individuals 18 years of age and older for the prevention of lower respiratory tract disease caused by RSV. The use of this vaccine should be in accordance with official recommendations.","Pfizer Europe MA EEIG","23/08/2023","17/07/2023","01/06/2026","https://www.ema.europa.eu/en/medicines/human/EPAR/abrysvo","abrysvo","EMA","European Medicines Agency","ema_download","https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx","2026-07-07 13:15:45 CEST","C:/Users/qvh9/OneDrive - Region Nordjylland/Dokumenter/R/kfaapps/spc/data/raw/ema_medicines_20260707.xlsx","abrysvo respiratory syncytial virus vaccine bivalent recombinant respiratory syncytial virus vaccine bivalent recombinant j07bx05 pfizer europe ma eeig"
"Human","Abseamed","EMEA/H/C/000727","Authorised","epoetin alfa","epoetin alfa","B03XA01","Treatment of symptomatic anaemia associated with chronic renal failure (CRF) in adult and paediatric patients: treatment of anaemia associated with chronic renal failure in paediatric and adult patients on haemodialysis and adult patients on peritoneal dialysis; treatment of severe anaemia of renal origin accompanied by clinical symptoms in adult patients with renal insufficiency not yet undergoing dialysis. Treatment of anaemia and reduction of transfusion requirements in adult patients receiving chemotherapy for solid tumours, malignant lymphoma or multiple myeloma, and at risk of transfusion as assessed by the patient's general status (e.g. cardiovascular status, pre existing anaemia at the start of chemotherapy). Abseamed can be used to increase the yield of autologous blood from patients in a predonation programme. Its use in this indication must be balanced against the reported risk of thromboembolic events. Treatment should only be given to patients with moderate anaemia (haemoglobin (Hb) 10-13 g/dl [6.2-8.1 mmol/l], no iron deficiency), if blood saving procedures are not available or insufficient when the scheduled major elective surgery requires a large volume of blood (4 or more units of blood for females or 5 or more units for males). Abseamed can be used to reduce exposure to allogeneic blood transfusions in adult non iron deficient patients prior to major elective orthopaedic surgery, having a high perceived risk for transfusion complications. Use should be restricted to patients with moderate anaemia (e.g. Hb 10-13 g/dl) who do not have an autologous predonation programme available and with an expected blood loss of 900 to 1800 ml.","Medice Arzneimittel Pütter GmbH Co. KG","27/08/2007","14/11/2016","11/07/2025","https://www.ema.europa.eu/en/medicines/human/EPAR/abseamed","abseamed","EMA","European Medicines Agency","ema_download","https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx","2026-07-07 13:15:45 CEST","C:/Users/qvh9/OneDrive - Region Nordjylland/Dokumenter/R/kfaapps/spc/data/raw/ema_medicines_20260707.xlsx","abseamed epoetin alfa epoetin alfa b03xa01 medice arzneimittel putter gmbh co kg"
"Human","Absimky","EMEA/H/C/006585","Withdrawn","ustekinumab","ustekinumab","L04AC05","Plaque psoriasis ABSIMKY is indicated for the treatment of moderate to severe plaque psoriasis in adults who failed to respond to, or who have a contraindication to, or are intolerant to other systemic therapies including ciclosporin, methotrexate (MTX) or PUVA (psoralen and ultraviolet A). Paediatric plaque psoriasis ABSIMKY is indicated for the treatment of moderate to severe plaque psoriasis in children and adolescent patients from the age of 6 years and older, who are inadequately controlled by, or are intolerant to, other systemic therapies or phototherapies. Psoriatic arthritis (PsA) ABSIMKY, alone or in combination with MTX, is indicated for the treatment of active psoriatic arthritis in adult patients when the response to previous non-biological disease-modifying antirheumatic drug (DMARD) therapy has been inadequate. Crohn’s Disease Absimky&nbsp;is&nbsp;indicated&nbsp;for&nbsp;the&nbsp;treatment&nbsp;of&nbsp;adult&nbsp;patients&nbsp;with&nbsp;moderately&nbsp;to&nbsp;severely&nbsp;active&nbsp;Crohn’s disease who have had an inadequate response with, lost response to, or were intolerant to either conventional therapy or a TNFα antagonist or have medical contraindications to such therapies. Ulcerative&nbsp;colitis Absimky&nbsp;is&nbsp;indicated&nbsp;for&nbsp;the&nbsp;treatment&nbsp;of&nbsp;adult&nbsp;patients&nbsp;with&nbsp;moderately&nbsp;to&nbsp;severely&nbsp;active&nbsp;ulcerative colitis who have had an inadequate response with, lost response to, or were intolerant to either conventional therapy or a biologic or have medical contraindications to such therapies.","Accord Healthcare S.L.U.","12/12/2024","18/10/2024","18/12/2025","https://www.ema.europa.eu/en/medicines/human/EPAR/absimky","absimky","EMA","European Medicines Agency","ema_download","https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx","2026-07-07 13:15:45 CEST","C:/Users/qvh9/OneDrive - Region Nordjylland/Dokumenter/R/kfaapps/spc/data/raw/ema_medicines_20260707.xlsx","absimky ustekinumab ustekinumab l04ac05 accord healthcare s l u"
"Human","Abylqis","EMEA/H/C/004810","Application withdrawn","arachis hypogaea extract","arachis hypogaea extract","V01AA08","Treatment of peanut allergy","DBV Technologies","","28/01/2022","23/11/2022","https://www.ema.europa.eu/en/medicines/human/EPAR/abylqis","abylqis","EMA","European Medicines Agency","ema_download","https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx","2026-07-07 13:15:45 CEST","C:/Users/qvh9/OneDrive - Region Nordjylland/Dokumenter/R/kfaapps/spc/data/raw/ema_medicines_20260707.xlsx","abylqis arachis hypogaea extract arachis hypogaea extract v01aa08 dbv technologies"
"Human","Accofil","EMEA/H/C/003956","Authorised","filgrastim","filgrastim","L03AA02","Accofil is indicated for the reduction in the duration of neutropenia and the incidence of febrile neutropenia in patients treated with established cytotoxic chemotherapy for malignancy (with the exception of chronic myeloid leukaemia and myelodysplastic syndromes) and for the reduction in the duration of neutropenia in patients undergoing myeloablative therapy followed by bone marrow transplantation considered to be at increased risk of prolonged severe neutropenia. The safety and efficacy of Accofil are similar in adults and children receiving cytotoxic chemotherapy. Accofil is indicated for the mobilisation of peripheral blood progenitor cells (PBPCs). In patients, children or adults with severe congenital, cyclic, or idiopathic neutropenia with an absolute neutrophil count (ANC) of ? 0.5 x 109/L, and a history of severe or recurrent infections, long term administration of Accofil is indicated to increase neutrophil counts and to reduce the incidence and duration of infection-related events. Accofil is indicated for the treatment of persistent neutropenia (ANC less than or equal to 1.0 x 109/L) in patients with advanced HIV infection, in order to reduce the risk of bacterial infections when other options to manage neutropenia are inappropriate.","Accord Healthcare S.L.U.","17/09/2014","25/05/2018","25/11/2025","https://www.ema.europa.eu/en/medicines/human/EPAR/accofil","accofil","EMA","European Medicines Agency","ema_download","https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx","2026-07-07 13:15:45 CEST","C:/Users/qvh9/OneDrive - Region Nordjylland/Dokumenter/R/kfaapps/spc/data/raw/ema_medicines_20260707.xlsx","accofil filgrastim filgrastim l03aa02 accord healthcare s l u"
"Human","Aclasta","EMEA/H/C/000595","Authorised","zoledronic acid","zoledronic acid","M05BA08","Treatment of osteoporosis: in post-menopausal women; in men; at increased risk of fracture, including those with a recent low-trauma hip fracture. Treatment of osteoporosis associated with long-term systemic glucocorticoid therapy in post-menopausal women and in men at increased risk of fracture. Treatment of Paget's disease of the bone.","Sandoz Pharmaceuticals d.d.","15/04/2005","23/03/2017","20/04/2026","https://www.ema.europa.eu/en/medicines/human/EPAR/aclasta","aclasta","EMA","European Medicines Agency","ema_download","https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx","2026-07-07 13:15:45 CEST","C:/Users/qvh9/OneDrive - Region Nordjylland/Dokumenter/R/kfaapps/spc/data/raw/ema_medicines_20260707.xlsx","aclasta zoledronic acid zoledronic acid m05ba08 sandoz pharmaceuticals d d"
"Human","Acomplia","EMEA/H/C/000666","Withdrawn","rimonabant","rimonabant","A08AX01","As an adjunct to diet and exercise for the treatment of obese patients (BMI 30 kg/m2), or overweight patients (BMI 27 kg/m2) with associated risk factor(s), such as type 2 diabetes or dyslipidaemia (see section 5.1).","sanofi-aventis","19/06/2006","17/07/2008","30/01/2009","https://www.ema.europa.eu/en/medicines/human/EPAR/acomplia","acomplia","EMA","European Medicines Agency","ema_download","https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx","2026-07-07 13:15:45 CEST","C:/Users/qvh9/OneDrive - Region Nordjylland/Dokumenter/R/kfaapps/spc/data/raw/ema_medicines_20260707.xlsx","acomplia rimonabant rimonabant a08ax01 sanofi aventis"
"Human","Acrescent","EMEA/H/C/002424","Refused","memantine hydrochloride;donepezil hydrochloride","memantine hydrochloride;donepezil hydrochloride","N06D","Treatment of Alzheimers disease","H. Lundbeck A/S","","18/10/2012","11/03/2013","https://www.ema.europa.eu/en/medicines/human/EPAR/acrescent","acrescent","EMA","European Medicines Agency","ema_download","https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx","2026-07-07 13:15:45 CEST","C:/Users/qvh9/OneDrive - Region Nordjylland/Dokumenter/R/kfaapps/spc/data/raw/ema_medicines_20260707.xlsx","acrescent memantine hydrochloride donepezil hydrochloride memantine hydrochloride donepezil hydrochloride n06d h lundbeck a s"
"Human","Actelsar HCT","EMEA/H/C/002676","Authorised","telmisartan;hydrochlorothiazide","telmisartan;hydrochlorothiazide","C09DA07","Treatment of essential hypertension. Actelsar HCT fixed-dose combination (40 mg telmisartan / 12.5 mg hydrochlorothiazide) is indicated in adults whose blood pressure is not adequately controlled on telmisartan alone. Actelsar HCT fixed-dose combination (80 mg telmisartan / 12.5 mg hydrochlorothiazide) is indicated in adults whose blood pressure is not adequately controlled on telmisartan alone. Actelsar HCT fixed-dose combination (80 mg telmisartan / 25 mg hydrochlorothiazide) is indicated in adults whose blood pressure is not adequately controlled on Actelsar HCT 80 mg / 12.5 mg (80 mg telmisartan / 12.5 mg hydrochlorothiazide) or adults who have been previously stabilised on telmisartan and hydrochlorothiazide given separately.","Actavis Group PTC ehf","13/03/2013","19/06/2018","13/05/2025","https://www.ema.europa.eu/en/medicines/human/EPAR/actelsar-hct","actelsar-hct","EMA","European Medicines Agency","ema_download","https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx","2026-07-07 13:15:45 CEST","C:/Users/qvh9/OneDrive - Region Nordjylland/Dokumenter/R/kfaapps/spc/data/raw/ema_medicines_20260707.xlsx","actelsar hct telmisartan hydrochlorothiazide telmisartan hydrochlorothiazide c09da07 actavis group ptc ehf"
"Veterinary","Acticam","EMEA/V/C/000138","Withdrawn","meloxicam","meloxicam","","Oral suspension: Dogs: Alleviation of inflammation and pain in both acute and chronic musculoskeletal disorders. Solution for injection: Dogs: Alleviation of inflammation and pain in both acute and chronic musculoskeletal disorders. Reduction of postoperative pain and inflammation following orthopaedic and soft-tissue surgery. Cats: Reduction of postoperative pain after ovariohysterectomy and minor soft-tissue surgery.","Ecuphar","09/12/2008","09/12/2013","24/03/2021","https://www.ema.europa.eu/en/medicines/veterinary/EPAR/acticam","acticam","EMA","European Medicines Agency","ema_download","https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx","2026-07-07 13:15:45 CEST","C:/Users/qvh9/OneDrive - Region Nordjylland/Dokumenter/R/kfaapps/spc/data/raw/ema_medicines_20260707.xlsx","acticam meloxicam meloxicam ecuphar"
"Veterinary","Activyl","EMEA/V/C/000163","Withdrawn","indoxacarb","indoxacarb","","","","","11/05/2017","17/06/2024","https://www.ema.europa.eu/en/medicines/veterinary/EPAR/activyl","activyl","EMA","European Medicines Agency","ema_download","https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx","2026-07-07 13:15:45 CEST","C:/Users/qvh9/OneDrive - Region Nordjylland/Dokumenter/R/kfaapps/spc/data/raw/ema_medicines_20260707.xlsx","activyl indoxacarb indoxacarb"
"Veterinary","Activyl Tick Plus","EMEA/V/C/002234","Withdrawn","indoxacarb;permethrin","indoxacarb;permethrin","","Treatment of flea infestations (Ctenocephalides felis); the product has persistent insecticidal efficacy for up to 4 weeks against Ctenocephalides felis. The product has persistent acaricidal efficacy for up to 5 weeks against Ixodes ricinus and up to 3 weeks against Rhipicephalus sanguineus. One treatment provides repellent (anti-feeding) activity against sand flies (Phlebotomus perniciosus) for up to 3 weeks.","Intervet International BV","09/01/2012","15/03/2018","04/10/2022","https://www.ema.europa.eu/en/medicines/veterinary/EPAR/activyl-tick-plus","activyl-tick-plus","EMA","European Medicines Agency","ema_download","https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx","2026-07-07 13:15:45 CEST","C:/Users/qvh9/OneDrive - Region Nordjylland/Dokumenter/R/kfaapps/spc/data/raw/ema_medicines_20260707.xlsx","activyl tick plus indoxacarb permethrin indoxacarb permethrin intervet international bv"
"Human","Actos","EMEA/H/C/000285","Authorised","pioglitazone","pioglitazone hydrochloride","A10BG03","Pioglitazone is indicated in the treatment of type-2 diabetes mellitus: as monotherapy: in patients (particularly overweight patients) inadequately controlled by diet and exercise for whom metformin is inappropriate because of contraindications or intolerance; as dual oral therapy in combination with: metformin, in patients (particularly overweight patients) with insufficient glycaemic control despite maximal tolerated dose of monotherapy with metformin; a sulphonylurea, only in patients who show intolerance to metformin or for whom metformin is contraindicated, with insufficient glycaemic control despite maximal tolerated dose of monotherapy with a sulphonylurea; as triple oral therapy in combination with: metformin and a sulphonylurea, in patients (particularly overweight patients) with insufficient glycaemic control despite dual oral therapy. Pioglitazone is also indicated for combination with insulin in type-2 diabetes mellitus patients with insufficient glycaemic control on insulin for whom metformin is inappropriate because of contraindications or intolerance.","CHEPLAPHARM Arzneimittel GmbH","13/10/2000","26/05/2016","28/08/2023","https://www.ema.europa.eu/en/medicines/human/EPAR/actos","actos","EMA","European Medicines Agency","ema_download","https://www.ema.europa.eu/en/documents/report/medicines-output-medicines-report_en.xlsx","2026-07-07 13:15:45 CEST","C:/Users/qvh9/OneDrive - Region Nordjylland/Dokumenter/R/kfaapps/spc/data/raw/ema_medicines_20260707.xlsx","actos pioglitazone hydrochloride pioglitazone a10bg03 cheplapharm arzneimittel gmbh"
