ATC;Anbefaling
C10AA;Overvej seponering af statiner ved primær profylakse og samtidig lav risiko for at dø af kardiovaskulær sygdom ud fra en samlet risikovurdering. HVORDAN: Kan seponeres uden aftrapning.
C10BA;Overvej seponering af statiner ved primær profylakse og samtidig lav risiko for at dø af kardiovaskulær sygdom ud fra en samlet risikovurdering. HVORDAN: Kan seponeres uden aftrapning.
G03AB;Seponér hormonelle kombinationspræparater ved alvorlige risikofaktorer (herunder migræne med aura) for arteriel eller venøs tromboembolisk sygdom. HVORDAN: Kan seponeres uden aftrapning. Vejled i alternative præventionsformer fx gestagen-alene præparater.
G03AA;Seponér hormonelle kombinationspræparater ved alvorlige risikofaktorer (herunder migræne med aura) for arteriel eller venøs tromboembolisk sygdom. HVORDAN: Kan seponeres uden aftrapning. Vejled i alternative præventionsformer fx gestagen-alene præparater.
G03AB;Seponér hormonelle kombinationspræparater ved alder over 40 år. HVORDAN: Kan seponeres uden aftrapning. Vejled i alternative præventionsformer fx gestagen-alene præparater.
G03AA;Seponér hormonelle kombinationspræparater ved alder over 40 år. HVORDAN: Kan seponeres uden aftrapning. Vejled i alternative præventionsformer fx gestagen-alene præparater.
G03FB;Seponér systemisk hormonbehandling ved en samlet behandlingsvarighed på 5 år eller derover. HVORFOR: Hormonbehandling øger risikoen for brystkræft, æggestokkræft, kræft i livmoderslimhinden og blodpropper. HVORDAN: Kan seponeres ved dosisreduktion på 25-50 % for hver 2-4 uger.
G03FA;Seponér systemisk hormonbehandling ved en samlet behandlingsvarighed på 5 år eller derover. HVORFOR: Hormonbehandling øger risikoen for brystkræft, æggestokkræft, kræft i livmoderslimhinden og blodpropper. HVORDAN: Kan seponeres ved dosisreduktion på 25-50 % for hver 2-4 uger.
G03CX01;Seponér systemisk hormonbehandling ved en samlet behandlingsvarighed på 5 år eller derover. HVORFOR: Hormonbehandling øger risikoen for brystkræft, æggestokkræft, kræft i livmoderslimhinden og blodpropper. HVORDAN: Kan seponeres ved dosisreduktion på 25-50 % for hver 2-4 uger.
G03CA;Seponér systemisk hormonbehandling ved en samlet behandlingsvarighed på 5 år eller derover. HVORFOR: Hormonbehandling øger risikoen for brystkræft, æggestokkræft, kræft i livmoderslimhinden og blodpropper. HVORDAN: Kan seponeres ved dosisreduktion på 25-50 % for hver 2-4 uger.
G04CA53;Seponér lægemidler mod overaktiv blæresyndrom ved manglende effekt efter 1-2 måneders behandling. HVORFOR: Midlerne har beskeden effekt, mange bivirkninger og interaktioner. HVORDAN: Kan seponeres uden aftrapning.
G04BD;Seponér lægemidler mod overaktiv blæresyndrom ved manglende effekt efter 1-2 måneders behandling. HVORFOR: Midlerne har beskeden effekt, mange bivirkninger og interaktioner. HVORDAN: Kan seponeres uden aftrapning.
G04BD;Seponér lægemidler mod overaktiv blæresyndrom ved permanent kateter. HVORFOR: Midlerne har beskeden effekt, mange bivirkninger og interaktioner. HVORDAN: Kan seponeres uden aftrapning.
G04CA53;Seponér lægemidler mod overaktiv blæresyndrom ved permanent kateter. HVORFOR: Midlerne har beskeden effekt, mange bivirkninger og interaktioner. HVORDAN: Kan seponeres uden aftrapning.
G04BD;Overvej seponering af lægemidler mod overaktiv blæresyndrom ved langvarig behandling. HVORFOR: Midlerne har beskeden effekt, mange bivirkninger og interaktioner. HVORDAN: Kan seponeres uden aftrapning.
G04CA53;Overvej seponering af lægemidler mod overaktiv blæresyndrom ved langvarig behandling. HVORFOR: Midlerne har beskeden effekt, mange bivirkninger og interaktioner. HVORDAN: Kan seponeres uden aftrapning.
G04BD;Overvej seponering af lægemidler mod overaktiv blæresyndrom ved langvarig behandling. Behandlingen bør én gang om året pauseres i 3 uger med henblik på revurdering af effekt. HVORFOR: Effekten er beskeden med mange bivirkninger og interaktioner. HVORDAN: Kan seponeres uden aftrapning. 
G04CA53;Overvej seponering af lægemidler mod overaktiv blæresyndrom ved langvarig behandling. Behandlingen bør én gang om året pauseres i 3 uger med henblik på revurdering af effekt. HVORFOR: Effekten er beskeden med mange bivirkninger og interaktioner. HVORDAN: Kan seponeres uden aftrapning. 
G04CB;Seponer 5-alfa-reduktasehæmmer ved manglende effekt efter 12 måneders behandling. HVORFOR: Effekten på vandladningsbesvær er usikker og en evt. effekt indtræder først efter 6-12 måneder. HVORDAN: Kan seponeres uden aftrapning.
G04CA;Seponer 5-alfa-reduktasehæmmer ved manglende effekt efter 12 måneders behandling. HVORFOR: Effekten på vandladningsbesvær er usikker og en evt. effekt indtræder først efter 6-12 måneder. HVORDAN: Kan seponeres uden aftrapning.
J01XE01;Overvej seponering af antibiotika ved forebyggelse af urinvejsinfektioner. HVORFOR: Frarådes generelt pga. risiko for resistensudvikling. Seponer inden for 6 mdr., hvis langtidsbehandling er nødvendig. Langtidsbehandling med nitrofurantoin kan give lungefibrose. HVORDAN: Kan seponeres uden aftrapning.
J01XX01;Overvej seponering af antibiotika ved forebyggelse af urinvejsinfektioner. HVORFOR: Frarådes generelt pga. risiko for resistensudvikling. Seponer inden for 6 mdr., hvis langtidsbehandling er nødvendig. Langtidsbehandling med nitrofurantoin kan give lungefibrose. HVORDAN: Kan seponeres uden aftrapning.
J01EE01;Overvej seponering af antibiotika ved forebyggelse af urinvejsinfektioner. HVORFOR: Frarådes generelt pga. risiko for resistensudvikling. Seponer inden for 6 mdr., hvis langtidsbehandling er nødvendig. Langtidsbehandling med nitrofurantoin kan give lungefibrose. HVORDAN: Kan seponeres uden aftrapning.
J01CA08;Overvej seponering af antibiotika ved forebyggelse af urinvejsinfektioner. HVORFOR: Frarådes generelt pga. risiko for resistensudvikling. Seponer inden for 6 mdr., hvis langtidsbehandling er nødvendig. Langtidsbehandling med nitrofurantoin kan give lungefibrose. HVORDAN: Kan seponeres uden aftrapning.
J01DB01;Overvej seponering af antibiotika ved forebyggelse af urinvejsinfektioner. HVORFOR: Frarådes generelt pga. risiko for resistensudvikling. Seponer inden for 6 mdr., hvis langtidsbehandling er nødvendig. Langtidsbehandling med nitrofurantoin kan give lungefibrose. HVORDAN: Kan seponeres uden aftrapning.
J01EB02;Overvej seponering af antibiotika ved forebyggelse af urinvejsinfektioner. HVORFOR: Frarådes generelt pga. risiko for resistensudvikling. Seponer inden for 6 mdr., hvis langtidsbehandling er nødvendig. Langtidsbehandling med nitrofurantoin kan give lungefibrose. HVORDAN: Kan seponeres uden aftrapning.
J01EA01;Overvej seponering af antibiotika ved forebyggelse af urinvejsinfektioner. HVORFOR: Frarådes generelt pga. risiko for resistensudvikling. Seponer inden for 6 mdr., hvis langtidsbehandling er nødvendig. Langtidsbehandling med nitrofurantoin kan give lungefibrose. HVORDAN: Kan seponeres uden aftrapning.
M01AH;Seponér NSAID ved kroniske smerter uden inflammatorisk komponent. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AG;Seponér NSAID ved kroniske smerter uden inflammatorisk komponent. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AE;Seponér NSAID ved kroniske smerter uden inflammatorisk komponent. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AC;Seponér NSAID ved kroniske smerter uden inflammatorisk komponent. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AB;Seponér NSAID ved kroniske smerter uden inflammatorisk komponent. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AX01;Seponér NSAID ved kroniske smerter uden inflammatorisk komponent. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02BA01;Seponér NSAID ved kroniske smerter uden inflammatorisk komponent. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02BA51;Seponér NSAID ved kroniske smerter uden inflammatorisk komponent. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02AJ07;Seponér NSAID ved kroniske smerter uden inflammatorisk komponent. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02BE51;Seponér NSAID ved kroniske smerter uden inflammatorisk komponent. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AC;Seponér NSAID ved svært nedsat nyre- eller leverfunktion. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AB;Seponér NSAID ved svært nedsat nyre- eller leverfunktion. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AX01;Seponér NSAID ved svært nedsat nyre- eller leverfunktion. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AH;Seponér NSAID ved svært nedsat nyre- eller leverfunktion. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AG;Seponér NSAID ved svært nedsat nyre- eller leverfunktion. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AE;Seponér NSAID ved svært nedsat nyre- eller leverfunktion. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02BA01;Seponér NSAID ved svært nedsat nyre- eller leverfunktion. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02BA51;Seponér NSAID ved svært nedsat nyre- eller leverfunktion. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02AJ07;Seponér NSAID ved svært nedsat nyre- eller leverfunktion. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02BE51;Seponér NSAID ved svært nedsat nyre- eller leverfunktion. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AX01;Seponér NSAID ved svær hjerteinsufficiens og/eller svær iskæmisk hjertesygdom. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AH;Seponér NSAID ved svær hjerteinsufficiens og/eller svær iskæmisk hjertesygdom. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AG;Seponér NSAID ved svær hjerteinsufficiens og/eller svær iskæmisk hjertesygdom. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AE;Seponér NSAID ved svær hjerteinsufficiens og/eller svær iskæmisk hjertesygdom. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AC;Seponér NSAID ved svær hjerteinsufficiens og/eller svær iskæmisk hjertesygdom. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AB;Seponér NSAID ved svær hjerteinsufficiens og/eller svær iskæmisk hjertesygdom. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02BA01;Seponér NSAID ved svær hjerteinsufficiens og/eller svær iskæmisk hjertesygdom. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02BA51;Seponér NSAID ved svær hjerteinsufficiens og/eller svær iskæmisk hjertesygdom. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02AJ07;Seponér NSAID ved svær hjerteinsufficiens og/eller svær iskæmisk hjertesygdom. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02BE51;Seponér NSAID ved svær hjerteinsufficiens og/eller svær iskæmisk hjertesygdom. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AX01;Seponér NSAID ved blødningstendens (fx ved AK-behandling). HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AH;Seponér NSAID ved blødningstendens (fx ved AK-behandling). HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AG;Seponér NSAID ved blødningstendens (fx ved AK-behandling). HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AE;Seponér NSAID ved blødningstendens (fx ved AK-behandling). HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AC;Seponér NSAID ved blødningstendens (fx ved AK-behandling). HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AB;Seponér NSAID ved blødningstendens (fx ved AK-behandling). HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02BA01;Seponér NSAID ved blødningstendens (fx ved AK-behandling). HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02BA51;Seponér NSAID ved blødningstendens (fx ved AK-behandling). HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02AJ07;Seponér NSAID ved blødningstendens (fx ved AK-behandling). HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02BE51;Seponér NSAID ved blødningstendens (fx ved AK-behandling). HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AE;Overvej seponering af NSAID ved hjertekarsygdom eller høj risiko herfor. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AC;Overvej seponering af NSAID ved hjertekarsygdom eller høj risiko herfor. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AB;Overvej seponering af NSAID ved hjertekarsygdom eller høj risiko herfor. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AX01;Overvej seponering af NSAID ved hjertekarsygdom eller høj risiko herfor. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AH;Overvej seponering af NSAID ved hjertekarsygdom eller høj risiko herfor. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AG;Overvej seponering af NSAID ved hjertekarsygdom eller høj risiko herfor. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02BA01;Overvej seponering af NSAID ved hjertekarsygdom eller høj risiko herfor. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02BA51;Overvej seponering af NSAID ved hjertekarsygdom eller høj risiko herfor. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02AJ07;Overvej seponering af NSAID ved hjertekarsygdom eller høj risiko herfor. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02BE51;Overvej seponering af NSAID ved hjertekarsygdom eller høj risiko herfor. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AE;Overvej seponering af NSAID ved høj risiko for ulcuskomplikation. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AC;Overvej seponering af NSAID ved høj risiko for ulcuskomplikation. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AB;Overvej seponering af NSAID ved høj risiko for ulcuskomplikation. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AX01;Overvej seponering af NSAID ved høj risiko for ulcuskomplikation. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AH;Overvej seponering af NSAID ved høj risiko for ulcuskomplikation. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AG;Overvej seponering af NSAID ved høj risiko for ulcuskomplikation. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02BA01;Overvej seponering af NSAID ved høj risiko for ulcuskomplikation. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02BA51;Overvej seponering af NSAID ved høj risiko for ulcuskomplikation. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02AJ07;Overvej seponering af NSAID ved høj risiko for ulcuskomplikation. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02BE51;Overvej seponering af NSAID ved høj risiko for ulcuskomplikation. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AE;Overvej seponering af NSAID ved samtidig behandling med andre lægemidler, som øger blødningsrisikoen (fx trombocythæmmere, systemisk glukokortikoid eller SSRI). HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AC;Overvej seponering af NSAID ved samtidig behandling med andre lægemidler, som øger blødningsrisikoen (fx trombocythæmmere, systemisk glukokortikoid eller SSRI). HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AB;Overvej seponering af NSAID ved samtidig behandling med andre lægemidler, som øger blødningsrisikoen (fx trombocythæmmere, systemisk glukokortikoid eller SSRI). HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AX01;Overvej seponering af NSAID ved samtidig behandling med andre lægemidler, som øger blødningsrisikoen (fx trombocythæmmere, systemisk glukokortikoid eller SSRI). HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AH;Overvej seponering af NSAID ved samtidig behandling med andre lægemidler, som øger blødningsrisikoen (fx trombocythæmmere, systemisk glukokortikoid eller SSRI). HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
